date,daily_cases,daily_deaths
3-14-2020, 11, 0
3-15-2020, 17, 0
3-16-2020, 10, 0
3-17-2020, 29, 0
3-18-2020, 11, 0
3-19-2020, 25, 1
3-20-2020, 46, 0
3-21-2020, 39, 1
3-22-2020, 48, 0
3-23-2020, 65, 1
3-24-2020, 51, 1
3-25-2020, 38, 1
3-26-2020, 70, 1
3-27-2020, 110, 2
3-28-2020, 132, 4
3-29-2020, 131, 4
3-30-2020, 145, 4
3-31-2020, 101, 8
4-01-2020, 121, 1
4-02-2020, 163, 8
4-03-2020, 132, 13
4-04-2020, 178, 10
4-05-2020, 202, 19
4-06-2020, 253, 15
4-07-2020, 296, 31
4-08-2020, 346, 16
4-09-2020, 396, 33
4-10-2020, 260, 20
4-11-2020, 403, 39
4-12-2020, 375, 40
4-13-2020, 442, 23
4-14-2020, 353, 36
4-15-2020, 385, 74
4-16-2020, 448, 43
4-17-2020, 450, 37
4-18-2020, 578, 60
4-19-2020, 622, 104
4-20-2020, 764, 36
4-21-2020, 511, 26
4-22-2020, 729, 145
